metallicity,common_alpha,sigma_bh,sigma_sn
0.00723,8.52848,977.22431,883.73606
0.01352,2.58512,592.41559,783.54052
0.02272,3.21009,68.49633,794.15566
0.00847,2.42439,251.94584,911.72825
0.01929,3.26998,409.56394,926.53956
0.00503,0.77523,159.63834,876.46906
0.00838,6.54156,598.52393,818.4727
0.00076,1.8795,66.6543,390.52349
0.01381,1.73537,647.83236,992.54424
0.01657,6.75504,765.93461,970.92139
0.02512,8.06986,893.28728,319.82997
0.00778,7.90236,411.69123,54.75765
0.00521,2.13409,579.91744,485.00281
0.00707,3.03385,699.70074,962.68752
0.00879,5.50528,809.03306,20.00558
0.00047,5.28169,667.84608,333.21895
0.01279,7.48207,360.42265,201.43076
0.01421,3.92388,154.51897,959.67776
0.01032,0.53488,639.25646,975.22534
0.01329,3.3132,164.90056,857.08124
0.00201,3.67319,497.34174,3.74677
0.02711,5.92729,525.32614,903.82843
0.00371,4.19994,136.97522,526.74088
0.01392,4.86394,167.93444,748.38454
0.00633,8.91123,945.13323,632.63443
0.01971,1.68253,424.38094,971.11987
0.02447,9.66169,269.00762,537.55055
0.01186,5.61433,109.81807,780.11456
0.01965,7.4607,664.90688,104.86094
0.01287,9.01113,801.61841,760.86762
0.0272,2.89696,580.3891,446.72227
0.01552,7.07822,44.10057,147.04193
0.00157,3.48124,764.13233,59.35591
0.0243,9.90051,126.6436,980.81783
0.0188,7.00384,556.46444,630.61992
0.02585,2.451,937.33131,678.27971
0.02287,7.12703,342.10131,125.31003
0.02811,9.97138,693.19133,345.32332
0.01911,2.78329,718.68628,703.79195
0.02797,5.49373,906.41276,721.19213
0.01092,8.27283,201.18254,369.62314
0.019,8.03375,839.7638,994.67205
0.01418,3.68221,180.87894,370.90847
0.02753,4.35196,372.0358,91.83213
0.01515,1.76638,340.62661,810.90974
0.00336,1.8873,353.09308,830.84957
0.00548,4.53436,125.76036,367.42967
0.00833,2.15992,918.33306,285.23439
0.00754,1.59211,283.12458,173.9989
0.02526,9.85912,150.32934,246.56585
0.00487,4.17531,357.08971,236.7608
0.00788,3.58482,784.64111,517.17206
0.00249,9.11134,776.90027,449.00386
0.00596,8.17081,503.14007,131.66398
0.02923,1.01567,298.56229,188.60267
0.00749,1.27404,208.19695,101.4852
0.01972,5.7717,752.01614,155.36442
0.02114,6.58671,551.10083,224.22448
0.02716,8.15275,627.3345,79.8209
0.01257,0.79942,585.03267,996.90415
0.02702,6.00155,761.22206,595.20917
0.01327,6.10745,29.97859,687.91232
0.01899,4.62797,827.74986,637.50292
0.00299,4.02241,335.42315,83.9168
0.01738,2.5248,530.82365,289.33508
0.01308,3.36019,485.27261,811.32181
0.02935,7.4162,214.43757,530.60577
0.02309,9.12762,300.21461,764.98539
0.01874,5.12876,133.52479,617.35753
0.01066,6.18913,879.10443,348.30104
0.00903,7.08202,285.34521,801.79237
0.00931,6.43771,726.33265,33.39072
0.00983,7.51132,740.08578,205.5453
0.01542,8.04089,707.24703,512.47715
0.01149,8.23709,85.10896,66.28781
0.02977,5.91245,130.71085,589.16527
0.02608,7.93675,993.27543,392.21259
0.0206,6.70869,73.29839,255.19635
0.01686,4.76462,385.37664,529.98826
0.02154,6.51735,348.18559,645.76675
0.0044,9.82471,119.57044,89.51715
0.00052,7.25555,257.61157,743.09423
0.01987,6.83414,447.37947,965.4683
0.01858,2.83551,783.4256,785.3079
0.00071,3.00791,124.09156,347.21961
0.01171,1.12745,674.06922,401.23931
0.02824,2.50857,631.06942,779.49974
0.01316,5.9587,897.85047,688.8043
0.02458,2.65601,688.76505,937.23553
0.00276,5.73808,232.99475,823.06702
0.00977,0.66547,421.38556,220.12903
0.01179,9.10673,141.70191,127.82051
0.01724,6.53176,916.06043,267.64935
0.01364,1.14683,939.51745,400.18699
0.0068,6.23549,537.07674,295.28945
0.00218,4.12518,33.70897,938.73328
0.00946,9.26667,224.52513,460.11872
0.00114,9.04121,43.84887,846.33277
0.02808,6.26836,134.60865,579.11921
0.01979,5.6694,17.00784,654.91943
0.02818,4.42389,703.42313,862.85753
0.00622,4.59854,997.30617,562.13774
0.00213,0.88227,652.04422,9.42039
0.01338,7.29387,108.47106,474.35748
0.01981,4.56578,132.0049,194.79595
0.01086,2.21512,323.50259,38.86646
0.02316,9.95932,228.59171,350.97471
0.0278,7.83212,78.79105,540.46632
0.0144,7.3884,915.66464,202.85446
0.00161,5.25839,942.86214,94.03811
0.0146,9.74173,242.37979,704.63
0.02122,2.90989,308.95858,877.1778
0.02164,8.56593,692.29881,605.35999
0.01428,5.43165,612.38091,357.65493
0.02423,4.16598,111.0879,324.76684
0.02732,1.66196,317.87339,619.25062
0.00909,0.07408,629.09265,115.12995
0.00647,5.8311,314.05006,24.21283
0.00901,9.71341,936.55202,700.90454
0.02504,9.88884,648.80265,681.31642
0.01129,4.70038,552.15139,302.2452
0.02637,7.36063,277.96011,717.53892
0.01878,4.07904,452.99085,18.98672
0.00645,7.77301,363.38044,574.53901
0.00045,2.9555,216.42013,497.09965
0.00198,1.26953,874.93983,611.79527
0.02158,0.10205,205.67884,571.73271
0.02801,1.77135,892.86641,515.10282
0.02878,2.1724,99.43382,999.56224
0.0249,8.77348,894.9707,321.69148
0.02884,8.80087,640.68851,961.20112
0.00951,6.89821,885.15747,866.1355
0.02375,6.56367,749.33139,720.79764
0.02889,5.35005,202.93117,243.31318
0.00661,9.49902,742.78779,346.9667
0.02815,5.52685,168.51343,301.88656
0.02588,4.01204,604.84578,879.78268
0.00712,4.0593,750.22587,337.46806
0.00408,1.43362,270.42872,737.30942
0.01528,0.0802,91.61508,885.43259
0.01241,3.4261,521.62376,650.22565
0.02573,3.62932,215.91425,557.65557
0.00579,8.11137,153.32494,30.72766
0.0139,1.51675,739.3815,290.12404
0.00807,3.38139,177.43518,495.72122
0.02443,6.82183,480.86398,769.66827
0.00657,0.49529,635.92336,739.51291
0.01633,5.39343,297.49292,943.88939
0.02329,7.06896,712.55165,195.45619
0.00163,0.54675,98.54809,61.28827
0.01607,2.36251,197.18432,385.95442
0.00696,7.61436,929.03455,123.35455
0.01679,9.58078,653.83664,787.75398
0.01072,0.85607,944.54334,464.14738
0.02994,4.95514,528.26736,389.15913
0.02292,2.48968,174.04897,736.96204
0.00893,3.77221,586.70901,320.69124
0.01321,5.96924,100.99637,260.3603
0.01956,8.89535,815.25932,956.83433
0.02853,3.59673,477.94676,585.09699
0.00518,0.11374,344.13159,890.06092
0.00704,2.24988,165.96501,225.21239
0.00964,0.25655,755.57481,838.24603
0.01529,2.9435,185.75439,148.77704
0.01519,7.49368,534.76968,960.79281
0.01584,0.06005,724.50208,706.33046
0.01821,1.93732,559.0073,829.26283
0.01946,9.40642,736.02276,865.16519
0.02906,9.02484,972.86899,563.48295
0.02408,4.08739,436.83328,405.98956
0.00596,9.55837,589.91526,582.04947
0.026,9.21677,835.904,983.65893
0.00096,3.69671,694.10935,138.73154
0.0297,0.2981,663.28391,741.18645
0.01051,8.67611,200.96425,842.83104
0.01292,0.56496,386.82423,76.18408
0.02374,1.60788,931.43927,891.94725
0.0076,1.45402,545.63932,710.93015
0.00802,7.04585,336.57971,969.99582
0.00652,5.27402,72.39215,895.38713
0.01634,4.50037,237.81466,778.08342
0.00013,0.39195,399.91085,420.139
0.01477,5.7015,110.202,207.93937
0.01728,7.78436,775.92317,871.72248
0.0227,4.57378,397.77464,917.1624
0.02592,2.79385,291.12643,607.56719
0.01077,8.7401,785.72844,840.32496
0.00359,0.46844,920.59322,525.62629
0.00592,8.69097,671.987,874.81678
0.0286,6.97328,182.70023,835.6549
0.01372,6.66073,710.91248,152.23847
0.02613,6.45036,196.42013,752.23647
0.00414,4.2296,539.91609,204.7196
0.0031,2.0995,803.15455,132.62876
0.00192,5.13839,178.54667,46.96475
0.00945,7.01864,817.50077,493.02028
0.01797,8.4988,793.68756,470.93222
0.00846,7.74343,698.31982,986.24901
0.00453,9.17265,127.05143,776.93336
0.01746,0.02714,941.91105,100.8948
0.00522,5.5736,252.4916,31.1527
0.00437,7.81575,867.96218,692.74839
0.01829,0.57891,113.70701,380.24745
0.00943,6.27998,173.6883,950.00898
0.00351,9.93329,90.7748,185.0853
0.00735,6.84099,467.28485,438.79819
0.00745,7.88611,171.58034,767.03746
0.01845,1.42517,330.0179,518.71413
0.0244,0.00466,522.93423,747.41576
0.00625,3.30076,304.88201,325.4555
0.00279,2.77232,107.87581,985.10904
0.02874,7.66115,505.33043,278.37222
0.02331,7.3391,575.3697,68.27827
0.00824,4.60106,576.08059,108.57017
0.00589,2.57899,4.75807,166.12159
0.02559,3.52777,221.32998,697.04707
0.02548,1.29743,700.38465,276.75475
0.01485,3.41307,753.28972,833.03264
0.01426,8.1619,561.02724,816.04942
0.02324,6.24029,36.32927,304.64426
0.02072,2.06687,507.38775,849.93953
0.02502,9.42618,608.83978,465.24279
0.00975,5.71658,89.02953,711.05805
0.00688,4.66441,833.04662,832.99039
0.0216,2.5494,719.20567,210.80865
0.02037,7.52558,198.64885,690.26824
0.00785,7.10496,34.64094,356.7924
0.0294,6.85797,812.39172,781.00914
0.02693,6.09347,496.33857,39.66513
0.00035,1.40359,526.87115,570.47272
0.00141,5.55809,54.83869,463.69203
0.01888,4.81011,943.86438,307.79468
0.02605,9.19295,678.27283,151.32905
0.02628,2.71324,795.1981,444.05417
0.00123,1.32131,516.21471,171.73343
0.02222,7.17832,84.14778,538.99775
0.01805,1.55356,250.43424,705.85653
0.01384,2.98528,569.2277,461.00932
0.00605,0.871,94.93054,727.35139
0.00316,1.71078,302.57012,161.16647
0.02034,3.27659,448.10193,176.79935
0.01624,1.69123,487.3654,329.78277
0.01578,5.75335,912.14243,85.60672
0.00039,9.68671,538.05196,187.83384
0.02855,7.57002,402.0664,583.42607
0.01749,5.56956,231.61681,844.62428
0.02297,4.43265,58.57659,42.62251
0.01094,8.75682,596.33881,384.5198
0.00059,9.57295,236.1801,797.60834
0.00323,6.21231,268.64667,394.2922
0.02686,6.07816,315.92523,466.19094
0.00813,4.32891,841.90113,646.54661
0.02631,2.87731,533.91505,159.68347
0.00493,8.73116,420.52125,254.9
0.0223,7.70796,324.67525,136.8321
0.02192,0.015,356.60998,172.74264
0.00581,3.79834,32.80633,742.97508
0.02348,3.90343,170.94422,494.96833
0.02914,1.65701,155.12434,480.10206
0.0169,2.22671,390.35201,48.38219
0.01677,2.66197,682.33026,468.93604
0.00694,3.9469,738.16828,707.06362
0.0061,7.26967,471.84018,695.02494
0.01651,8.60236,393.93803,615.27779
0.02533,8.35527,259.99017,665.61935
0.02768,9.78984,417.52133,453.66671
0.02078,5.60319,994.65021,265.64275
0.01707,3.80854,267.94675,429.99669
0.02384,7.27275,92.66001,873.14503
0.02495,4.71256,140.14084,643.40819
0.02093,9.61319,924.01964,40.59239
0.02068,5.72658,382.80526,756.71291
0.01229,0.63675,737.14404,586.04092
0.01665,0.38116,500.27155,699.97264
0.0229,2.07346,349.05861,949.08196
0.00265,8.82958,886.26089,73.78231
0.01654,1.021,771.41901,744.07455
0.00662,6.22866,524.76219,510.53928
0.01639,3.99226,974.40981,95.38813
0.00821,8.09575,280.63435,288.01444
0.00329,8.68626,747.73785,287.23257
0.02551,0.80079,414.74245,457.13033
0.01961,1.92204,981.10168,685.94033
0.00669,8.72726,217.3676,215.11996
0.01596,9.89326,350.10612,492.91989
0.01063,1.7832,529.08331,406.73216
0.01848,6.25217,987.44604,451.93712
0.01431,4.99851,515.62316,751.29535
0.02453,2.41657,97.99113,112.66974
0.01045,1.81734,120.87479,897.86638
0.00406,8.63602,166.51789,381.82986
0.02666,4.83736,245.67253,256.59503
0.00618,5.53376,510.75608,543.80012
0.02417,1.15027,456.95422,478.67798
0.00397,9.62922,419.90674,231.64116
0.00482,6.12407,248.04784,64.2743
0.01213,7.69264,541.00734,722.61788
0.01641,4.29892,263.01122,448.56027
0.01207,9.18018,492.84989,259.06066
0.00565,2.28625,440.20007,935.72349
0.02919,1.37239,601.74498,658.18545
